;date;model;year;ram;memory;touchbar;m1;cpu;url;Vidělo:;Cena:
0;30.11. 2021;Pro;2016;16;;;False;2.7;https://pc.bazos.cz/inzerat/145159266/macbook-pro-15-27-ghz-i7-16-gb-ram-500-gb-hdd.php;89;20000
0;12.12. 2021;Pro;2017;8;512;touchbar;False;;https://pc.bazos.cz/inzerat/145664470/macbook-pro-13-i5-2017-8gb512gb-touchbar.php;29;20000
0;14.12. 2021;Air;2018;8;256;;False;1.6;https://pc.bazos.cz/inzerat/145773851/macbook-air-13-retinai5-2018-8gb-ram-256gb-zaruka.php;17;20800
0;6.12. 2021;Air;2019;;;;False;;https://pc.bazos.cz/inzerat/145392233/macbook-air-13-velmi-zachovaly.php;35;21000
0;14.12. 2021;Air;2020;;;;True;;https://pc.bazos.cz/inzerat/145766554/macbook-air-2020-m1.php;76;21000
0;1.12. 2021;Pro;2019;8;256;touch bar;False;;https://pc.bazos.cz/inzerat/145193446/macbook-pro-13-2019.php;71;21400
0;14.12. 2021;Pro;2017;8;128;;False;2.3;https://pc.bazos.cz/inzerat/145775040/macbook-pro-13i52017-8gb-ram-128gb-zaruka.php;19;21800
0;14.12. 2021;Pro;2017;8;128;;False;2.3;https://pc.bazos.cz/inzerat/145775450/macbook-pro-13i5-2017-8gb-ram-128gb-zaruka.php;17;21800
0;10.12. 2021;Pro;2016;16;256;touchbar;False;2.6;https://pc.bazos.cz/inzerat/145596535/macbook-pro-15-2016-i7-26ghz-16gb-ram.php;32;21999
0;15.12. 2021;Air;;8;256;;True;;https://pc.bazos.cz/inzerat/145679330/apple-macbook-air-m1-v-zaruce-14-mesicu.php;189;22000
0;10.12. 2021;Pro;2017;;512;touchbar;True;;https://pc.bazos.cz/inzerat/145598504/apple-macbook-pro-13-cz-touchbar-512gb.php;58;22600
0;14.12. 2021;Pro;2014;16;512;;False;2.5;https://pc.bazos.cz/inzerat/145776977/macbook-pro-15-retinai72014-16gb-ram-512gb-ssd-zaruka.php;15;22800
0;14.12. 2021;Pro;2017;8;256;;False;2.3;https://pc.bazos.cz/inzerat/145774990/macbook-pro-13-retinai52017-8gb-ram-256gb-zaruka.php;19;22800
0;15.12. 2021;Air;2019;8;256;;False;{1.6, 4.0};https://pc.bazos.cz/inzerat/145720783/13-apple-macbook-air-retina-i5-16ghz-2019-zaruka-ssd-256gb.php;43;22980
0;15.12. 2021;Air;2019;8;256;;True;;https://pc.bazos.cz/inzerat/145081563/13-apple-macbook-air-i5-16ghz-retina-zaruka-1rok-model-2019.php;685;22980
0;13.12. 2021;Air;;8;256;;True;;https://pc.bazos.cz/inzerat/145747294/macbook-air-13-m1-8gb-256gb-space-grey-novy-zaruka.php;47;22990
0;13.12. 2021;Air;;8;256;;True;;https://pc.bazos.cz/inzerat/145747351/macbook-air-13-m1-8gb-256gb-silver-novy-zaruka.php;56;22990
0;15.12. 2021;Pro;2017;16;;touchbar;False;;https://pc.bazos.cz/inzerat/145239388/macbook-pro-15-2017-touchbar-zaruka.php;121;22990
0;7.12. 2021;Air;;8;256;;False;;https://pc.bazos.cz/inzerat/145469675/apple-macbook-air-13-palacovy.php;45;23000
0;14.12. 2021;Pro;2019;8;128;touch bar;False;1.4;https://pc.bazos.cz/inzerat/145457839/apple-macbook-pro-133-2019.php;71;23000
0;29.11. 2021;Pro;2019;8;128;touch bar;False;{1.4, 3.9};https://pc.bazos.cz/inzerat/145083598/macbook-pro-13-2019-space-gray.php;46;23499
0;15.12. 2021;Pro;2016;16;{'256', '1', '512'};;False;2.6;https://pc.bazos.cz/inzerat/145782857/apple-macbook-pro-retina-15-2016-silver.php;47;24000
0;6.12. 2021;Air;2020;;;;True;;https://pc.bazos.cz/inzerat/145432930/macbook-air-2020-na-cipu-m1-space-gray.php;143;24000
0;27.11. 2021;Pro;2019;32;;;False;;https://pc.bazos.cz/inzerat/145009521/macbook-pro-13-retina-cz-2019-s-touch-barem-vesmirne-sedy.php;56;24000
0;14.12. 2021;Pro;2017;8;512;;False;3.1;https://pc.bazos.cz/inzerat/145749422/macbook-pro-13-apple-512gb-8gb-ram.php;31;24600
0;14.12. 2021;Pro;2016;8;256;touch bar;False;2.9;https://pc.bazos.cz/inzerat/145775641/macbook-pro-13-retina-tbi52016-8gb-ram-256gb-zaruka.php;17;24800
0;9.12. 2021;Pro;2020;{'16', '8'};1;touch bar;False;{2.0, 3.8};https://pc.bazos.cz/inzerat/145118954/apple-macbook-pro-13-2020-touch-bar-1-tb-mwp82cza-silver.php;91;24990
0;15.12. 2021;Pro;2017;16;512;;False;2.9;https://pc.bazos.cz/inzerat/145786088/macbook-pro-15-2017-16-gb-ram-512-gb-ssd.php;45;24999
0;12.12. 2021;Pro;2017;16;512;;False;2.9;https://pc.bazos.cz/inzerat/145683859/macbook-pro-15-2017-29-ghz-16-gb-ram-512-gb-ssd.php;37;25000
